Total score
ZOK Novi Sad,0
Radnicki,3
"
"
"
"
Team ZOK Novi Sad,points,serve error,serve ace
Set 1,3,1,2
Set 2,3,1,2
Set 3,3,1,2
"
"
Team ZOK Novi Sad,Set1,Set 2,Set 3
Serve to zone 1,0,1,0
Serve to zone 2,0,0,0
Serve to zone 3,1,1,1
Serve to zone 4,0,0,0
Serve to zone 5,0,0,1
Serve to zone 6,3,2,2
"
"
Team ZOK Novi Sad,Set1,Set 2,Set 3
Attack to zone 1,0  [0.0%],0  [0.0%],0  [0.0%]
Attack to zone 2,0  [0.0%],0  [0.0%],0  [0.0%]
Attack to zone 3,1  [33.3%],1  [33.3%],1  [33.3%]
Attack to zone 4,0  [0.0%],0  [0.0%],0  [0.0%]
Attack to zone 5,2  [66.7%],2  [66.7%],2  [66.7%]
Attack to zone 6,0  [0.0%],0  [0.0%],0  [0.0%]
"
"
"
"
Team Radnicki,points,serve error,serve ace
Set 1,4,0,0
Set 2,4,0,0
Set 3,4,0,0
"
"
Team Radnicki,Set1,Set 2,Set 3
Serve to zone 1,1,1,2
Serve to zone 2,0,0,0
Serve to zone 3,1,0,0
Serve to zone 4,0,0,0
Serve to zone 5,0,1,0
Serve to zone 6,0,0,0
"
"
Team Radnicki,Set1,Set 2,Set 3
Attack to zone 1,0  [0.0%],0  [0.0%],0  [0.0%]
Attack to zone 2,0  [0.0%],0  [0.0%],0  [0.0%]
Attack to zone 3,4  [100.0%],4  [100.0%],4  [100.0%]
Attack to zone 4,0  [0.0%],0  [0.0%],0  [0.0%]
Attack to zone 5,0  [0.0%],0  [0.0%],0  [0.0%]
Attack to zone 6,0  [0.0%],0  [0.0%],0  [0.0%]
"
"
"
"
,longest rally,average rally
Set 1,5,1.57
Set 2,5,1.57
Set 3,5,1.57
